DRUG_NAME,n_samples,r2,rmse,mae,pearson,spearman
ouabain,963,-4.972959392321014,0.4535834252784974,0.42984495106377013,0.34767218206831935,0.4879447760978997
ML334 diastereomer,673,-5.358461986075616,0.16105277430439566,0.1443545073218385,-0.2141183498546255,-0.1166946313414807
BRD-K42260513,445,-5.381571298118665,0.20699297131462555,0.19412498023144403,-0.021430058697595962,-0.07663787923667036
N23918-95-7,673,-6.416431890978377,0.07532512383117648,0.06809181200310875,-0.10499077932230595,-0.14501908660760912
Sepantronium bromide,651,-6.5163103104882785,0.707274664835753,0.6650888754527009,0.17675319351624036,0.3220560520026184
UNC0321,951,-6.623545676470974,0.1511807033413853,0.1383527739433321,-0.051236998104361005,0.010840223679148315
BAY ACCi,618,-6.655093054913098,0.09749042371661075,0.09236391781462511,0.09138773241214387,0.030135262362147534
STF-62247,677,-6.694073152673038,0.09619159043327796,0.09240196643497461,0.3589739208992874,0.17966192902677827
SCH-79797,953,-6.769682948808117,0.3064935620540606,0.28981822117455147,0.36754478231479526,0.4524533919932282
FTI-277,660,-8.961897346434956,0.09907256531973536,0.09378597590810603,-0.1078700022085986,-0.16111643554551724
sitagliptin,237,-9.454339755233184,0.2052148845412456,0.18987462480993675,-0.1135647849260588,-0.06406047840156649
Avagacestat,1363,-10.586703659336997,0.10237849004609731,0.0974771771175919,-0.07420894083275309,-0.13345266074347184
pandacostat,905,-10.597596623179744,0.1991283862433693,0.1899971573462845,0.2630927577437302,0.2536663691164202
RO-3306,687,-13.450003554283002,0.1636536327630967,0.15705694713659718,-0.1013826986691794,-0.10953431662297211
IOX2,673,-17.220198030638553,0.1034025877777536,0.09931715646922323,-0.1403431075631303,-0.23313947467101237
KIN001-042,682,-17.792802378157045,0.10132224696455346,0.09723056420953254,-0.09311358570354535,-0.16055453010123902
BCL-LZH-4,460,-31.484394794153033,0.2788890551953192,0.271258448961476,-0.15734894488724818,-0.15865379236562804
CCT007093,681,-34.37226651565566,0.1501415756834007,0.1465567050735765,-0.068231560780274,-0.15514765742533992
ZL049,674,-41.12702652075595,0.40252866156255196,0.39759383959597583,0.3196917679331434,0.3517671144895011
FY069,670,-48.77325677622675,0.4325962378100009,0.42887134408569616,0.3301180400217846,0.398262395340321
Voxtalisib,682,-56.84405734299207,0.35712155041509636,0.35149551736987716,0.19715615054167288,0.20345811091006272
